Time,123_1,123_2,123_3,21_1,21_2,23_1,23_2,24_1,25_1,25_2,26_1,26_2,27_1,27_2,28_1,28_2,29_1,29_2,31_1,32_1,33_1
Last.bmp,35.2645,35.26,35.2546,17.4787,17.4782,18.5538,18.5461,12.1015,10.5278,0.0107,3.3552,3.3525,4.2262,4.2367,8.7015,0.0418,4.2242,4.2192,0.0169,0.047,0.0101
LF_20190930003600559.bmp,35.2334,35.2318,35.2298,17.4969,17.4959,18.5592,18.5554,12.1004,10.5128,0.025,3.3433,3.3463,4.2242,4.2359,8.6972,0.027,4.2265,4.2157,0.0144,0.0743,0.0178
LF_20190930003601387.bmp,35.2335,35.2316,35.2294,17.4968,17.4957,18.5591,18.5549,12.1007,10.513,0.0249,3.3431,3.3461,4.2244,4.2358,8.6968,0.0269,4.2261,4.216,0.0143,0.0742,0.0176
Last.bmp,35.2643,35.2599,35.2545,17.4787,17.4784,18.5539,18.5462,12.1015,10.5278,0.0107,3.3552,3.3525,4.2262,4.2368,8.7015,0.0416,4.2241,4.2193,0.0169,0.047,0.0102
LF_20190930003600559.bmp,35.2336,35.2319,35.23,17.4968,17.4959,18.5593,18.5555,12.1004,10.5128,0.0249,3.3433,3.3463,4.2243,4.2359,8.6972,0.027,4.2265,4.2159,0.0142,0.0741,0.0178
LF_20190930003601387.bmp,35.2335,35.2317,35.2294,17.4967,17.4958,18.559,18.5547,12.1008,10.513,0.0247,3.3431,3.3461,4.2243,4.2358,8.6968,0.0263,4.2261,4.2161,0.014,0.074,0.0174
Last.bmp,35.2645,35.2599,35.2543,17.4785,17.4782,18.5538,18.5461,12.1015,10.5278,0.0106,3.3552,3.3525,4.2262,4.2367,8.7015,0.0414,4.2241,4.2192,0.017,0.0469,0.0102
LF_20190930003600559.bmp,35.2334,35.2318,35.2299,17.497,17.4958,18.5593,18.5555,12.1004,10.5128,0.0249,3.3433,3.3463,4.2242,4.2359,8.6972,0.0271,4.2265,4.2158,0.0143,0.0742,0.0177
LF_20190930003601387.bmp,35.2333,35.2317,35.2297,17.4967,17.4957,18.5592,18.5547,12.101,10.513,0.0246,3.3431,3.3461,4.2244,4.2358,8.6968,0.0271,4.2261,4.2161,0.014,0.074,0.0172
Last.bmp,35.2644,35.2598,35.2542,17.4787,17.4782,18.5539,18.5462,12.1014,10.5278,0.0108,3.3552,3.3525,4.2262,4.2368,8.7015,0.0418,4.2241,4.2192,0.0169,0.047,0.0103
LF_20190930003601387.bmp,35.2333,35.2316,35.2294,17.4967,17.4957,18.5592,18.5547,12.1007,10.513,0.0249,3.3431,3.3461,4.2243,4.2358,8.6968,0.0262,4.2261,4.2161,0.0142,0.0742,0.0175
